,Method,Beam Type,L/h,k,result
457,TSDBT,C-C,10,0.3,5.993
278,TSDBT,S-S,20,5.0,3.64838
277,TSDBT,S-S,5,5.0,3.39979
276,TSDBT,C-F,20,5.0,1.30332
275,TSDBT,C-F,5,5.0,1.25896
149,TSDBT,C-F,5,0.5,1.61827
150,TSDBT,C-F,20,0.5,1.66049
151,TSDBT,S-S,5,0.5,4.41138
152,TSDBT,S-S,20,0.5,4.65159
189,TSDBT,C-C,5,1.0,7.95676
190,TSDBT,C-C,20,1.0,9.43182
459,TSDBT,C-C,100,0.3,6.215
192,TSDBT,C-F,20,1.0,1.50106
147,TSDBT,C-C,5,0.5,8.75394
193,TSDBT,S-S,5,1.0,3.99067
231,TSDBT,C-C,5,2.0,7.18062
232,TSDBT,C-C,20,2.0,8.59739
233,TSDBT,C-F,5,2.0,1.33256
234,TSDBT,C-F,20,2.0,1.36957
235,TSDBT,S-S,5,2.0,3.62632
236,TSDBT,S-S,20,2.0,3.83611
273,TSDBT,C-C,5,5.0,6.49028
274,TSDBT,C-C,20,5.0,8.14346
194,TSDBT,S-S,20,1.0,4.20509
319,TSDBT,S-S,5,10.0,3.28107
