,Beam Type,Method,L/h,k,result
556,C-F,ICDBT,5,10.0,1.2128
557,C-F,ICDBT,20,10.0,1.2651
558,C-F,ISDBT,5,10.0,1.2123
559,C-F,ISDBT,20,10.0,1.2648
560,C-F,ITDBT,5,10.0,1.2121
561,C-F,ITDBT,20,10.0,1.2647
562,C-F,PESDBT1,5,10.0,1.2192
563,C-F,PESDBT1,20,10.0,1.2653
564,C-F,PESDBT10,5,10.0,1.2265
565,C-F,PESDBT10,20,10.0,1.2658
566,C-F,PESDBT5,5,10.0,1.2241
567,C-F,PESDBT5,20,10.0,1.2656
580,C-C,ICDBT,5,10.0,5.9591
581,C-C,ICDBT,20,10.0,7.8634
582,C-C,ISDBT,5,10.0,5.9591
583,C-C,ISDBT,20,10.0,7.8634
584,C-C,ITDBT,5,10.0,5.962
585,C-C,ITDBT,20,10.0,7.8618
586,C-C,PESDBT1,5,10.0,6.1809
587,C-C,PESDBT1,20,10.0,7.8947
588,C-C,PESDBT10,5,10.0,6.4115
589,C-C,PESDBT10,20,10.0,7.9285
590,C-C,PESDBT5,5,10.0,6.3258
591,C-C,PESDBT5,20,10.0,7.9178
